;ipca;expfocus;crb;hiato;des;credibilidade;d1;d2;d3;d4;d5;d6;d7;d8;d9;d10;d11;selic;dcambio;tjlp_cdb;exprac;ipcacheio
mai/12;0,37;0,28;2,74338476;0,247113352;14,31831163;-0,290496501;0;0;0;0;1;0;0;0;0;0;0;8,87;0,1312;-14,60880813;0,688155918;0,36
jun/12;0,06;0,2;0,64042008;-0,517633806;14,56422204;-0,304428062;0;0;0;0;0;1;0;0;0;0;0;8,39;0,0632;-14,8686501;0,665316654;0,08
jul/12;0,51;0,3;2,534465843;0,964432676;15,23367438;-0,295046488;0;0;0;0;0;0;1;0;0;0;0;8,07;-0,0204;-15,52872087;0,974702528;0,43
ago/12;0,5;0,4;1,420440771;1,612677403;15,94554718;-0,291443499;0;0;0;0;0;0;0;1;0;0;0;7,85;0,0007;-16,23699068;0,751413438;0,41
set/12;0,66;0,49;1,018717035;-0,927710747;16,27154701;-0,298173476;0;0;0;0;0;0;0;0;1;0;0;7,39;-0,0014;-16,56972049;0,822575968;0,57
out/12;0,7;0,53;-4,219874005;0,847087916;15,93456374;-0,307856841;0;0;0;0;0;0;0;0;0;1;0;7,23;0,0018;-16,24242058;0,502193432;0,59
nov/12;0,62;0,53;5,339081769;-0,268403453;15,70761202;-0,29097034;0;0;0;0;0;0;0;0;0;0;1;7,14;0,0379;-15,99858236;0,721410944;0,6
dez/12;0,94;0,68;-2,911832517;-1,738235071;15,70442203;-0,25;0;0;0;0;0;0;0;0;0;0;0;7,16;0,01;-15,95442203;0,746482956;0,79
jan/13;1,2;0,43;-1,203787361;-1,848523902;15,32685288;-0,333025174;1;0;0;0;0;0;0;0;0;0;0;7,11;-0,0467;-15,65987805;0,713347155;0,86
fev/13;1,13;0,42;-3,436175643;-2,895067989;15,28869702;-0,449396433;0;1;0;0;0;0;0;0;0;0;0;7,12;-0,0578;-15,73809345;0,665066775;0,6
mar/13;0,53;0,46;2,381364338;0,696224709;14,98344826;-0,485634766;0;0;1;0;0;0;0;0;0;0;0;7,15;0,0096;-15,46908303;0,657481604;0,47
abr/13;0,59;0,33;-0,899188281;1,1812075;14,67284342;-0,59080186;0;0;0;1;0;0;0;0;0;0;0;7,26;0,0193;-15,26364528;0,580417265;0,55
mai/13;0,39;0,29;5,302137829;0,344835835;14,39891724;-0,731771619;0;0;0;0;1;0;0;0;0;0;0;7,42;0,0327;-15,13068886;0,635445063;0,37
jun/13;0,22;0,28;2,866905705;-0,320710653;14,52649503;-0,724626562;0;0;0;0;0;1;0;0;0;0;0;7,9;0,1381;-15,25112159;0,677942328;0,26
