"","date_quarter","ipca_total","ipca_livres","ic_br","hiato","EInf_t+1","EInf_t+2","EInf_t+3","EInf_t+4","EInf_t+5","EInf_t+6","quarter","ipca_l1","ipca_l2","hiato_l3","ic_l1","Einf_1"
"1",2002.1,1.487163232,1.5982658852,310.4156568575,-1.18527161770302,1.10527640704633,1.60031773322419,1.00085143415294,0.839472284130771,0.312500000000004,NA,"1",NA,NA,NA,NA,1.10527640704633
"2",2002.2,1.43592905600001,0.621227783,317.4829225325,-1.68042584970796,1.47352617009579,0.925967055092928,0.972981601295331,0.878636426832206,0.567692307692313,NA,"2",1.487163232,NA,NA,310.4156568575,1.47352617009579
"3",2002.3,2.58103869200002,2.56123896839997,503.2904839676,-0.58150986409703,1.08964734855127,1.07860700130571,1.09472213053599,1.34306106048828,0.405000000000011,NA,"3",1.43592905600001,1.487163232,NA,317.4829225325,1.08964734855127
"4",2002.4,6.56132280199999,6.33545426560003,739.6163379416,-0.29507241365444,2.0308774559227,2.03500176901784,2.62534119483713,1.6941883791571,0.732352941176462,NA,"4",2.58103869200002,1.43592905600001,-1.18527161770302,503.2904839676,2.0308774559227
"5",2003.1,5.1327454975,4.10420894719998,743.020486205,-2.21518139348352,2.22870583471927,2.98532651333706,2.13038135203701,1.65294408638685,0.540000000000007,NA,"1",6.56132280199999,2.58103869200002,-1.68042584970796,739.6163379416,2.22870583471927
"6",2003.2,1.43353812450002,1.607420222,557.6580522512,-3.06016945446528,2.68871428761315,1.84869983553924,1.82980606734161,1.37694886991223,0.889285714285704,NA,"2",5.1327454975,6.56132280199999,-0.58150986409703,743.020486205,2.68871428761315
"7",2003.3,1.32489730400001,0.640610932399999,567.077879732,-2.87991466580358,1.61633974277571,1.59686212700398,1.38186944677428,1.55058230050077,0.467499999999998,NA,"3",1.43353812450002,5.1327454975,-0.29507241365444,557.6580522512,1.61633974277571
"8",2003.4,1.15426712720001,1.25509477160002,634.3014005512,-2.72000670820843,1.49233843687604,1.33451091481921,1.60831399999999,1.26284344718635,0.491875000000008,NA,"4",1.32489730400001,1.43353812450002,-2.21518139348352,567.077879732,1.49233843687604
"9",2004.1,1.85109678919999,2.18572477750001,668.9206852096,-1.66687983464104,1.1718799795272,1.54148226710145,1.33219259519975,1.16792702935973,0.364000000000009,NA,"1",1.15426712720001,1.32489730400001,-3.06016945446528,634.3014005512,1.1718799795272
"10",2004.2,1.59814839770001,1.54780389339999,816.6472048448,-0.735474900025657,1.67880502782711,1.33765492988921,1.34609179679748,0.965975480867728,0.61500000000001,NA,"2",1.85109678919999,1.15426712720001,-2.87991466580358,668.9206852096,1.67880502782711
"11",2004.3,1.94157972070002,1.34559086400001,776.7600783284,-0.477171030027734,1.48417244621803,1.47176278465909,1.19495715545432,1.47402555577623,0.428666666666677,NA,"3",1.59814839770001,1.85109678919999,-2.72000670820843,816.6472048448,1.48417244621803
"12",2004.4,2.00278010959998,1.3053540122,738.4195076669,-0.738439148885683,1.52716247285714,1.26202312603524,1.61271804559523,1.11133554878556,0.486874999999998,NA,"4",1.94157972070002,1.59814839770001,-1.66687983464104,776.7600783284,1.52716247285714
"13",2005.1,1.79057987420002,1.71926650010001,724.9668713468,-1.37674623785513,1.22129940532933,1.51665282041407,1.24085918462367,1.14128421538107,0.4,NA,"1",2.00278010959998,1.94157972070002,-0.735474900025657,738.4195076669,1.22129940532933
"14",2005.2,1.34399014739999,1.3950257936,634.6476424208,-0.789299504299967,1.39153122698678,1.22099399087879,1.3175758196849,1.00457766849273,0.482000000000005,NA,"2",1.79057987420002,2.00278010959998,-0.477171030027734,724.9668713468,1.39153122698678
"15",2005.3,0.771896487500001,0.0499499999999875,586.2337185088,-1.91694147318061,1.25239847957157,1.30813409638881,1.09987196035374,1.07351814737697,0.358333333333327,NA,"3",1.34399014739999,1.79057987420002,-0.738439148885683,634.6476424208,1.25239847957157
"16",2005.4,1.66881985000003,1.09392062839999,640.69324,-2.20679804573373,1.20142101431061,1.02165383236127,1.10855187015191,0.999532826234262,0.4,NA,"4",0.771896487500001,1.34399014739999,-1.37674623785513,586.2337185088,1.20142101431061
"17",2006.1,1.43672940169999,1.31550744000002,672.7515125477,-1.4277218374817,0.954499079785117,1.06101106640761,1.13197446785978,1.0153447663561,0.340625000000006,NA,"1",1.66881985000003,0.771896487500001,-0.789299504299967,640.69324,0.954499079785117
"18",2006.2,0.0995585589999681,-0.389891888000005,676.2841086424,-1.67165846113839,1.00470214136249,1.14034872804676,1.13932650962895,0.839008350714917,0.351250000000003,NA,"2",1.43672940169999,1.66881985000003,-1.91694147318061,672.7515125477,1.00470214136249
"19",2006.3,0.45059919949999,0.430579245700002,666.196116175,-1.36354628494001,1.21049039412058,1.17824488312422,0.946798602029975,0.895355504243452,0.345294117647055,NA,"3",0.0995585589999681,1.43672940169999,-2.20679804573373,676.2841086424,1.21049039412058
"20",2006.4,1.12409991040001,1.20475719200002,685.7395852128,-1.5637931296253,1.16380696639698,0.837962221057927,0.950146006322735,0.913689554073856,0.354666666666659,NA,"4",0.45059919949999,0.0995585589999681,-1.4277218374817,666.196116175,1.16380696639698
"21",2007.1,1.2551991632,1.55796549920002,686.6739033875,-0.603859465313927,0.760418006487643,0.897266225400347,1.04569310657818,0.98683986012799,0.323125000000002,NA,"1",1.12409991040001,0.45059919949999,-1.67165846113839,685.7395852128,0.760418006487643
