"","selic","desvio","hiato"
"1",19.0533333333333,1.7564,-2.51796755449722
"2",18.9133333333333,-3.75991803278689,-1.18527161770302
"3",18.2833333333333,-3.91015873015873,-1.68042584970796
"4",17.9666666666667,-3.29128787878788,-0.58150986409703
"5",21.29,1.513515625,-0.29507241365444
"6",25.6866666666667,5.57672131147541,-2.21518139348352
"7",26.24,3.03065573770492,-3.06016945446528
"8",23.2933333333333,1.11515151515152,-2.87991466580358
"9",18.2533333333333,0.536693548387097,-2.72000670820843
"10",16.27,1.22909836065574,-1.66687983464104
"11",15.8433333333333,1.29467741935484,-0.735474900025657
"12",15.9066666666667,1.75238461538462,-0.477171030027734
"13",16.9566666666667,1.65883333333333,-0.738439148885683
"14",18.4566666666667,1.17327868852459,-1.37674623785513
"15",19.56,0.911984126984127,-0.789299504299967
"16",19.6933333333333,0.377,-1.91694147318061
"17",18.7866666666667,0.0986290322580645,-2.20679804573373
"18",17.2233333333333,-0.0449999999999999,-1.4277218374817
"19",15.69,-0.361393442622951,-1.67165846113839
"20",14.6033333333333,-0.163203125,-1.36354628494001
"21",13.5966666666667,-0.437786885245901,-1.5637931296253
"22",12.9333333333333,-0.617903225806451,-0.603859465313927
"23",12.3466666666667,-0.998951612903226,0.323855152850028
"24",11.46,-0.859375,0.189467265046517
"25",11.18,-0.595403225806451,0.896175494848084
"26",11.18,-0.177622950819672,1.43461654783226
"27",11.6966666666667,0.254838709677419,1.71657798308478
"28",12.89,0.780984848484849,2.61253236891306
"29",13.6533333333333,0.743538461538462,-2.24722856443039
"30",12.56,0.10639344262295,-5.24736519936471
"31",10.27,-0.389590163934426,-3.77368724993103
"32",8.77,-0.412846153846154,-2.3573606152469
"33",8.65,-0.153650793650794,-0.769151599254936
"34",8.65,0.0686885245901641,-0.149240003017703
"35",9.35333333333333,0.287177419354839,1.04283364070763
"36",10.5466666666667,0.537076923076923,1.57421916727214
"37",10.66,0.864047619047619,1.92138488346136
"38",11.2133333333333,0.983387096774194,1.50202716931254
"39",11.92,0.754596774193549,1.8600042424749
"40",12.1933333333333,0.971846153846154,1.00306352001336
"41",11.3333333333333,1.02266129032258,0.579741587900084
"42",10.3066666666667,0.844444444444444,-0.118399597027374
"43",8.87,1.01,0.205122217807308
"44",7.77,1.07578125,1.24306481957654
"45",7.17666666666667,0.948870967741936,0.941551214691705
"46",7.12666666666667,1.07333333333333,0.729005605110244
"47",7.52666666666667,1.11611111111111,2.2081362430074
"48",8.52666666666667,1.44212121212121,2.56699693378579
"49",9.53333333333333,1.64875,2.17359633290108
"50",10.4166666666667,1.64323770491803,2.47884626899113
"51",10.89,1.58290983606557,1.12620002962605
"52",10.9,1.64435606060606,1.07867748411983
"53",11.2166666666667,2.02603846153846,1.3646921522779
"54",12.1833333333333,2.23348360655738,0.104533602539303
"55",13.1366666666667,1.66590163934426,-1.65261354572186
"56",13.9966666666667,1.36134615384615,-3.05794877773417
"57",14.15,2.32916666666667,-3.85132812817741
"58",14.15,2.39184426229508,-4.41029927781025
"59",14.15,1.63242063492063,-5.07015713999036
"60",14.15,0.984884615384615,-5.3346168761314
"61",13.8666666666667,0.385040322580645,-6.01846275794701
"62",12.7133333333333,0.121388888888889,-4.79473328975196
"63",10.9633333333333,-0.0160655737704918,-4.36887400753994
"64",9.17,-0.206875,-4.30963360114132
"65",7.47,-0.500532786885246,-4.39596245547689
